"","Task","Muscle","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"77","task02","Superior Trapezius, Scapula",0.763004912315587,1.0244132035731,9.95071650120027e-05,10.8324471244303
"78","task02","Supinator",2.41857249745078,2.94839770483973,0.000169736095258748,27.8906173882897
"79","task02","Teres Major",5.55148083902452,5.06563014612477,0.0111271072958097,34.1381287318608
"80","task02","Teres Minor",3.05518806176369,3.59505548971558,3.5611280652533e-05,29.8219574608547
"81","task02","Trapezius, Clavicle",5.17212332488,6.51492031343675,0.0004271199108161,67.0468667624017
"82","task02","Triceps Lateral Head",4.04917786969756,4.32911464451027,0.000958283830839957,32.5307367743324
"83","task02","Triceps Long Head",2.94279136929396,2.63177959830495,0.000644531216580368,18.6567985001513
"84","task02","Triceps Medial Head",3.65850041199145,3.47091887338025,0.00430064478609982,25.7306918847588
"85","task03","Anconeus",5.57324905149587,7.01907875690446,0.00884877223722014,46.1996652406431
"86","task03","Anterior Deltoid",1.97540726116543,1.9632155651401,0.000853938693852988,12.7740464014582
"87","task03","Anterior Supraspinatus",5.40910189618966,6.76547360340732,0.00018842449607015,46.4662529200783
"88","task03","Biceps Long Head",3.50750767499441,4.202226633744,0.0023368093977481,44.4873527861898
"89","task03","Biceps Short Head",1.97994081967127,2.30746186915729,0.000414072717433737,17.8727312026217
"90","task03","Brachialis",4.38294588053227,4.9268318143562,7.4992021921323e-05,38.5355374663497
"91","task03","Brachioradialis",5.75073570881075,6.58726570151051,0.000259379507477807,50.9652413636933
"92","task03","Coracobrachialis",3.102166608314,3.48531571601032,3.3810045459873e-05,26.4733873822417
"93","task03","Inferior Infraspinatus",3.050848707754,3.40857842182084,0.000963695132609912,30.5812416151908
"94","task03","Inferior Latissimus Dorsi",22.0048752751521,10.7227018844661,0.0160720043696045,62.8327907498261
"95","task03","Inferior Pectoralis Major",1.39090762008985,1.31497460836072,0.00317429655586288,10.5401027874112
"96","task03","Inferior Rhombiod",2.56797578221486,2.6836624872112,0.00112914158268609,21.3587233590791
"97","task03","Inferior Serratus Anterior",0.792532573588268,0.839900902630151,0.000892299709645278,6.99672590148867
"98","task03","Inferior Subscapularis",9.65921768992031,7.63282940199933,0.0205860784323004,51.2537786387008
"99","task03","Inferior Trapezius, Scapula",2.08777080448492,2.18356714839733,0.000330568055760181,15.1646454288258
"100","task03","Levator Scapula",4.47134392837996,2.05950155200242,0.00516497095158019,16.9475952851463
"101","task03","Middle Deltoid",5.67723819641239,4.54176823075675,0.00281715363692014,29.571777332621
"102","task03","Middle Latissimus Dorsi",26.8051034378743,13.994551041206,0.0143493182678966,50.1371100341458
"103","task03","Middle Pectoralis Major",2.14457479050478,2.09063498527867,0.00388460807615896,14.9429024983474
"104","task03","Middle Serratus Anterior",1.61139649970647,1.62677785768393,4.3010515780374e-06,15.1495862469058
"105","task03","Middle Subscapularis",7.51995222436263,5.78328110886204,0.00288709145939947,46.2109917940839
"106","task03","Middle Trapezius, Scapula",2.08258846884723,2.28642666544848,0.00123297587801205,19.7966778421411
