"","Task","DOF","Muscle","M","SD","Median","Min","Max"
"142","task01","8dof","Levator Scapula",5.3595499967652,4.97804116256093,3.88922575717732,0.000426386160188447,37.294838727388
"143","task01","8dof","Middle Deltoid",60.2029043982917,20.5508315997209,61.4807273901672,0.130407171799829,99.9561081533431
"144","task01","8dof","Middle Latissimus Dorsi",12.0398196948251,11.2284915484625,8.74984063284925,0.00164314697656542,94.6382943620073
"145","task01","8dof","Middle Pectoralis Major",5.00230548517695,4.46422341008025,3.74566601266734,0.000748760946777532,29.6066321451968
"146","task01","8dof","Middle Serratus Anterior",11.4664036681928,10.1600020315562,8.6144410340537,0.000615909994466923,63.9149358798776
"147","task01","8dof","Middle Subscapularis",53.6655460427733,27.5230683105005,55.1578659033249,0.00356388502253946,99.9973955810531
"148","task01","8dof","Middle Trapezius, Scapula",5.58194739806815,5.12350511109972,4.0902736262161,0.000467682767262695,38.0981192743614
"149","task01","8dof","Pectoralis Minor",68.9270128654131,24.5198403579635,75.0361987721713,0.0831437122023604,99.9927438956932
"150","task01","8dof","Posterior Deltoid",54.4166299000291,26.0669117874466,55.7290377206403,0.0227493299209347,99.9839055413088
"151","task01","8dof","Posterior Supraspinatus",50.0008862495082,28.8159110164734,50.2319292921299,0.00480397480765449,99.9905825712395
"152","task01","8dof","Pronator Quadratus",51.881411227654,28.3931816939839,52.5656755800342,0.000386808317931475,99.9973602951038
"153","task01","8dof","Pronator Teres, Humeral",54.1943249638081,27.964823213942,55.8826964058275,0.0123564478495153,99.9996667436056
"154","task01","8dof","Pronator Teres, Ulnar",50.6730417571052,28.8389943943856,50.6767547709789,0.00192685977732365,99.9976628498598
"155","task01","8dof","Superior Infraspinatus",47.0960240089937,27.8396276390276,45.6963743617536,0.0245193118949993,99.9813417055277
"156","task01","8dof","Superior Latissimus Dorsi",15.8219552158507,14.7900239793935,11.4839751370542,0.00206254763223668,99.5707848481041
"157","task01","8dof","Superior Pectoralis Major",7.3891900568164,6.41803503089539,5.66757983938768,7.92918837866363e-05,46.3009420209817
"158","task01","8dof","Superior Rhombiod",2.45401490268832,2.33018616325795,1.76636477384734,0.000619636256251471,16.9179197677344
"159","task01","8dof","Superior Serratus Anterior",11.3688469057235,9.8522795115905,8.78427139059512,0.000295939258507238,67.3069387082753
"160","task01","8dof","Superior Subscapularis",50.1021000443218,28.5793804330794,49.8520547866506,0.00135224541654155,99.9968013933196
"161","task01","8dof","Superior Trapezius, Scapula",2.55688366371082,2.3177280808356,1.90794022265002,0.00121046382171586,19.1723115344139
"162","task01","8dof","Supinator",38.7716513018782,20.9740592487507,37.627688354772,0.0260674691191842,99.9751942157407
"163","task01","8dof","Teres Major",55.0296190021914,26.1409765394289,56.3299151512534,0.0597560356465299,99.9953984443452
"164","task01","8dof","Teres Minor",45.8911382994268,27.2645307824975,44.5441348061069,0.0380069666025329,99.9981494425989
"165","task01","8dof","Trapezius, Clavicle",50.1381416365156,28.9207168260575,50.2236080014917,0.00580312961566132,99.9962155783829
"166","task01","8dof","Triceps Lateral Head",41.8515909922981,26.9736480419466,38.5780722174828,0.002194924359189,99.9700650413532
"167","task01","8dof","Triceps Long Head",29.9195601662363,20.6255440398408,26.5283341698705,0.0200121309891388,98.9277283385521
"168","task01","8dof","Triceps Medial Head",38.3051892113706,25.5371007868035,34.4126284757568,0.0167711689655348,99.9961020525038
"169","task02","11dof","Anconeus",49.2073045517339,28.8526657908486,48.7982475536235,7.54848436590461e-05,99.9986731882809
"170","task02","11dof","Anterior Deltoid",6.61135609637846,5.59887840892478,5.09654372753649,0.00133556616505187,38.7388672905904
"171","task02","11dof","Anterior Supraspinatus",51.1495920814212,28.6140845042405,51.7132270262821,0.0207392225474945,99.9824136149276
"172","task02","11dof","Biceps Long Head",52.101791746487,28.4910404402176,52.8827289154793,0.00827960816695006,99.9937990500398
"173","task02","11dof","Biceps Short Head",44.9886222925288,26.78216721065,43.1166981760508,0.0228903971525196,99.9018355472612
"174","task02","11dof","Brachialis",54.6941098097651,27.8663609849004,56.6955583368945,0.00635195793677878,99.9921085142315
"175","task02","11dof","Brachioradialis",51.6728646084584,28.7009369624025,52.5076522310741,0.00745099043195641,99.9753066247087
"176","task02","11dof","Coracobrachialis",41.3241373774015,26.8862668503252,37.9647174662872,0.0287619336604261,99.9860284164799
"177","task02","11dof","Inferior Infraspinatus",38.1956223460271,25.7046175904372,34.404900435079,0.00253829165803299,99.9680608521984
"178","task02","11dof","Inferior Latissimus Dorsi",8.97224749035254,7.90571404361189,6.73048191367528,0.000899470827299409,59.0420207208041
"179","task02","11dof","Inferior Pectoralis Major",2.04180356622446,1.83793696371267,1.50768252528633,4.65360601695913e-05,14.2547398534681
"180","task02","11dof","Inferior Rhombiod",5.78335149096428,5.3822619515219,4.23352063765129,0.000467646453588405,48.8014337405001
"181","task02","11dof","Inferior Serratus Anterior",2.34997289816142,2.01440897756425,1.82952576274916,0.000524065396378948,13.8496868165031
"182","task02","11dof","Inferior Subscapularis",60.7776923509517,26.5021967288919,64.3797458459593,0.0789525016150705,99.9912759983902
"183","task02","11dof","Inferior Trapezius, Scapula",3.55851373719857,3.20145357000378,2.65135784291259,0.0012348197577651,22.5911349961083
"184","task02","11dof","Levator Scapula",17.5142947883325,11.9424550064614,15.6479702928611,0.00274831651440599,70.458917889296
"185","task02","11dof","Middle Deltoid",49.5711046845532,21.4298603153754,49.4453592339213,0.130167228393274,99.8991517599145
"186","task02","11dof","Middle Latissimus Dorsi",6.91530197054058,6.17120755131275,5.14263658085889,0.000488975096270272,41.9357360821013
"187","task02","11dof","Middle Pectoralis Major",4.7979872049725,4.17061123627338,3.70334553985054,0.00141873565537853,28.0520772951072
